,Year,Media,Title,Released,Consumed
1549,,C,Star Wars (2020) 43 ,2024-02-21,False
1550,,C,Star Wars (2020) 44 ,2024-03-06,False
1551,,C,"""A Trick of the Mind"" — Revelations (2023) 1 ",2023-12-20,False
1552,,C,Star Wars (2020) 45 ,2024-04-03,False
1553,,C,Star Wars (2020) 46 ,2024-05-22,False
1554,,C,Star Wars (2020) 47 ,2024-06-05,False
1555,,C,Star Wars (2020) 48 ,2024-07-17,False
1556,,C,Star Wars (2020) 49 ,2024-08-21,False
1557,,C,"""Tool of the Empire"" — Revelations (2023) 1 ",2023-12-20,False
1558,,C,Darth Vader (2020) 42 ,2024-01-03,False
1559,,C,Darth Vader (2020) 43 ,2024-02-14,False
1560,,C,Darth Vader (2020) 44 ,2024-03-13,False
1561,,C,Darth Vader (2020) 45 ,2024-04-10,False
1562,,C,"""The Curse"" — Free Comic Book Day 2024: Star Wars 1",2024-05-04,False
1563,,C,Darth Vader (2020) 46 ,2024-05-08,False
1564,,C,Darth Vader (2020) 47 ,2024-06-12,False
1565,,C,Darth Vader (2020) 48 ,2024-07-24,False
1566,,C,Darth Vader (2020) 49 ,2024-08-14,False
1567,,C,Darth Vader (2020) 50 ,2024-09-18,False
1568,,C,"""Tall Tales"" — Revelations (2023) 1 ",2023-12-20,False
1569,,C,"""Duel of the Reprobates"" — Revelations (2023) 1 ",2023-12-20,False
1570,,C,Bounty Hunters 42 ,2024-01-17,False
1571,,TV,"Star Wars Galaxy of Adventures — ""Darth Vader - Might of the Empire"" ",2018-11-30,False
1572,,C,"""Return to Hoth"" — Darth Vader – Black, White & Red 4 ",2023-07-26,False
1573,,C,"""The Woklings' Tale"" — Return of the Jedi – Ewoks 1 ",2023-04-12,False
1574,,C,"""Paploo's Tale"" — Return of the Jedi – Ewoks 1 ",2023-04-12,False
1575,4 ABY,C,"""We Shall Double Our Efforts"" — Tales from the Death Star ",2023-10-17,False
1576,4 ABY,C,Return of the Jedi – The Empire 1 ,2023-06-07,False
1577,4 ABY,JR,Moving Target: A Princess Leia Adventure,2015-09-04,False
1578,4 ABY,C,Return of the Jedi – Lando 1 ,2023-05-03,False
1579,,C,Hyperspace Stories 12,2023-12-13,False
1580,4 ABY,C,Age of Rebellion - Luke Skywalker 1,2019-06-05,False
1581,4 ABY,VG,Star Wars Battlefront II Campaign:,2017-11-17,False
1582,4 ABY,TV,"Star Wars Forces of Destiny — ""Bounty Hunted""",2018-03-19,False
1583,4 ABY,C,Age of Rebellion - Princess Leia 1,2019-04-10,False
1584,,C,Tales from the Rancor Pit ,2022-11-23,False
1585,,C,"""Peekpa's Tale"" — Return of the Jedi – Ewoks 1 ",2023-04-12,False
1586,4 ABY,C,Return of the Jedi – The Rebellion 1 ,2023-07-19,False
1587,4 ABY,F,Star Wars: Episode VI Return of the Jedi,1983-05-25,False
1588,4 ABY,JR,Star Wars: Return of the Jedi junior novelization,2017-05-04,False
1589,4 ABY,JR,Le retour du Jedi - Le roman du film,2015-09-09,False
1590,4 ABY,JR,Le retour du Jedi junior novelization,2017-11-08,False
1591,4 ABY,JR,Return of the Jedi: Beware the Power of the Dark Side!,2015-09-22,False
1592,4 ABY,C,Star Wars: Return of the Jedi Graphic Novel Adaptation,2019-10-22,False
1593,4 ABY,C,"Star Wars: Chapter 28: ""Jabba's Palace""",2015-12-27,False
1594,4 ABY,TV,"Star Wars Galaxy of Adventures — ""Jabba the Hutt - Galactic Gangster""",2019-05-03,False
1595,4 ABY,C,Return of the Jedi – Jabba's Palace 1 ,2023-03-29,False
1596,4 ABY,TV,"Star Wars Galaxy of Adventures — ""Leia and Han - The Han Rescue""",2019-04-26,False
1597,4 ABY,C,"Star Wars: Chapter 29: ""Pit of Carkoon""",2015-12-31,False
1598,4 ABY,TV,"Star Wars Galaxy of Adventures — ""Luke vs. the Rancor - Wrath of the Rancor""",2019-05-31,False
1599,4 ABY,C,"Star Wars: Chapter 30: ""Lightsaber""",2016-01-03,False
1600,4 ABY,TV,"Star Wars Galaxy of Adventures — ""Luke vs. Jabba - Sail Barge Escape""",2019-05-10,False
1601,4 ABY,C,"Star Wars: Chapter 31: ""Rescue""",2016-01-07,False
1602,4 ABY,C,"Star Wars: Chapter 32: ""Secret of Birth""",2016-01-10,False
1603,4 ABY,C,"Star Wars: Chapter 33: ""Forest Moon""",2016-01-14,False
1604,4 ABY,C,"Star Wars: Chapter 34: ""Protectors of the Forest""",2016-01-17,False
1605,4 ABY,C,"Star Wars: Chapter 35: ""Surrender""",2016-01-21,False
1606,4 ABY,C,"Star Wars: Chapter 36: ""The Emperor""",2016-01-31,False
1607,4 ABY,C,"Star Wars: Chapter 37: ""Rage""",2016-02-07,False
1608,4 ABY,C,"Star Wars: Chapter 38: ""Light vs. Dark""",2016-02-14,False
1609,4 ABY,C,"Star Wars: Chapter 39: ""Epiphany""",2016-02-21,False
1610,4 ABY,C,"Star Wars: Chapter 40: ""The End""",2016-02-28,False
1611,4 ABY,C,TIE Fighter 1,2019-04-17,False
1612,4 ABY,C,TIE Fighter 2,2019-05-15,False
1613,4 ABY,C,TIE Fighter 3,2019-06-19,False
1614,4 ABY,C,TIE Fighter 4,2019-07-17,False
1615,4 ABY,TV,"Star Wars Galaxy of Adventures — ""Princess Leia - An Unexpected Friend""",2019-04-19,False
1616,4 ABY,TV,"Star Wars Forces of Destiny — ""Ewok Escape""",2017-07-05,False
1617,4 ABY,C,"""Ackbar"" — From a Certain Point of View: Return of the Jedi ",2023-08-29,False
1618,4 ABY,TV,"Star Wars Galaxy of Adventures — ""Luke vs. Emperor Palpatine - Rise to Evil""",2018-12-07,False
1619,4 ABY,TV,"Star Wars Galaxy of Adventures — ""Ewoks vs. The Empire - Small but Mighty""",2019-07-05,False
1620,4 ABY,VG,Star Wars Battlefront II Campaign: Mission 1: The Battle of Endor,2017-11-17,False
1621,4 ABY,C,Shattered Empire 1,2015-09-09,False
1622,4 ABY,TV,"Star Wars Galaxy of Adventures — ""Chewie and Ewoks - Hijacking a Walker""",2019-06-07,False
1623,4 ABY,C,Battle of Jakku — Insurgency Rising 1 ,2024-10-02,False
1624,4 ABY,C,"""The Rising"" — Battle of Jakku — Insurgency Rising 1 ",2024-10-02,False
1625,4 ABY,TV,"Star Wars Forces of Destiny — ""An Imperial Feast""",2017-10-29,False
1626,4 ABY,C,TIE Fighter 5,2019-08-21,False
1627,4 ABY,TV,"Star Wars Forces of Destiny — ""Traps and Tribulations"" ",2018-05-04,False
1628,4 ABY,TV,"Star Wars Forces of Destiny — ""Chopper and Friends""",2018-05-04,False
1629,4 ABY,N,The Princess and the Scoundrel,2022-08-16,False
1630,4 ABY,C,Return of the Jedi – Max Rebo 1 ,2023-08-09,False
1631,,C,Star Wars Adventures: Shadow of Vader's Castle ,2020-11-04,False
1632,4 ABY,C,Battle of Jakku — Insurgency Rising 2 ,2024-10-16,False
1633,,C,Ewoks 1 ,2024-10-09,False
1634,,C,Ewoks 2 ,2024-11-13,False
1635,,C,Ewoks 3 ,2024-12-18,False
1636,,C,Ewoks 4 ,2025-01-29,False
1637,4 ABY,C,Return of the Jedi – Ewoks 1 ,2023-04-12,False
1638,4 ABY,C,Shattered Empire 2,2015-10-07,False
1639,4 ABY,VG,Star Wars Battlefront II Campaign: Mission 2: The Dauntless,2017-11-17,False
1640,4 ABY,VG,Star Wars Battlefront II Campaign: Mission 3: The Observatory,2017-11-17,False
1641,4 ABY,C,Battle of Jakku — Insurgency Rising 3 ,2024-10-30,False
1642,4 ABY,C,Battle of Jakku — Insurgency Rising 4 ,2024-11-06,False
1643,4 ABY,C,"""A Race for Answers"" — Star Wars Adventures (2017) 23 ",2019-07-03,False
1644,4 ABY,VG,Star Wars Battlefront II Campaign: Mission 4: The Storm,2017-11-17,False
1645,4 ABY,C,Shattered Empire 3,2015-10-14,False
1646,4 ABY,VG,Star Wars Battlefront II Campaign: Mission 5: The Outcasts,2017-11-17,False
1647,4 ABY,VG,Star Wars Battlefront II Campaign: Mission 6: Royalty,2017-11-17,False
1648,4–5 ABY,VG,Star Wars: Uprising,2015-09-10,False
1649,,C,"""Hare-Brained Heist"" — Star Wars Adventures Annual 2019 ",2019-08-14,False
1650,4 ABY,N,Alphabet Squadron,2019-06-11,False
1651,4 ABY,N,Aftermath,2015-09-04,False
1652,,C,Star Wars Adventures: Ghosts of Vader's Castle 1 ,2021-09-22,False
1653,,C,Star Wars Adventures: Ghosts of Vader's Castle 2 ,2021-09-29,False
1654,,C,Star Wars Adventures: Ghosts of Vader's Castle 3 ,2021-10-06,False
1655,,C,Star Wars Adventures: Ghosts of Vader's Castle 4 ,2021-10-13,False
1656,,C,Star Wars Adventures: Ghosts of Vader's Castle 5 ,2021-10-20,False
1657,4–5 ABY,C,Shattered Empire 4,2015-10-21,False
1658,,TV,"""Hunted"" on the official Electronic Arts Star Wars YouTube channel (article) (backup link) ",2020-09-14,False
1659,4 ABY,VG,Star Wars: Squadrons,2020-10-02,False
1660,5 ABY,VG,Star Wars Battlefront II Campaign: Mission 7: General Distress,2017-11-17,False
1661,5 ABY,VG,Star Wars Battlefront II Campaign: Mission 8: Under Covered Skies,2017-11-17,False
1662,5 ABY,VG,Star Wars Battlefront II Campaign: Mission 9: Cache Grab,2017-11-17,False
1663,5 ABY,N,Shadow Fall: An Alphabet Squadron Novel ,2020-06-23,False
1664,5 ABY,N,Aftermath: Life Debt,2016-07-12,False
1665,5 ABY,C,Battle of Jakku — Republic Under Siege 1,2024-11-20,False
1666,5 ABY,C,"""Consolidation"" — Battle of Jakku — Republic Under Siege 1",2024-11-20,False
1667,5 ABY,C,Battle of Jakku — Republic Under Siege 2,2024-11-27,False
1668,5 ABY,C,Battle of Jakku — Republic Under Siege 3 ,2024-12-04,False
1669,5 ABY,C,"""The Ghost Ship"" — Star Wars Adventures: Destroyer Down ",2017-12-20,False
1670,5 ABY,C,Battle of Jakku — Republic Under Siege 4 ,2024-12-11,False
1671,,C,Battle of Jakku — Last Stand 1 ,2024-12-25,False
1672,,C,"""False Histories"" — Battle of Jakku — Last Stand 1 ",2024-12-25,False
1673,,C,Battle of Jakku — Last Stand 2 ,2025-01-08,False
1674,5 ABY,N,Victory's Price: An Alphabet Squadron Novel,2021-03-02,False
1675,5 ABY,N,Aftermath: Empire's End,2017-02-21,False
1676,,C,Battle of Jakku — Last Stand 3 ,2025-01-15,False
1677,,C,Battle of Jakku — Last Stand 4 ,2025-01-22,False
1678,5 ABY,VG,Star Wars Battlefront II Campaign: Mission 10: The Battle of Jakku,2017-11-17,False
1679,5 ABY,VG,Star Wars Battlefront II Campaign: Mission 11: Until Ashes,2017-11-17,False
1680,6 ABY,C,Star Wars (2025) 1 ,2025-05-07,False
1681,,C,Untitled Luke Skywalker story — Free Comic Book Day 2025: Star Wars 1 ,2025-05-03,False
1682,,C,Star Wars (2025) 2 ,2025-XX-XX,False
1683,,C,Star Wars (2025) 3 ,2025-XX-XX,False
1684,,C,Hyperspace Stories Annual—Jaxxon 2023 ,2023-04-07,False
1685,7 ABY,N,Last Shot,2018-04-17,False
1686,9 ABY,JR,Hunters: Battle for the Arena ,2023-03-07,False
1687,9 ABY,TV,"The Mandalorian — ""Chapter 1: The Mandalorian""",2019-11-12,False
1688,9 ABY,JR,The Mandalorian Junior Novel,2021-01-05,False
1689,9 ABY,JR,The Mandalorian: L'Enfant,2021-02-03,False
1690,9 ABY,C,The Mandalorian: Season 1: Volume 1,2021-03-30,False
1691,9 ABY,C,Star Wars: The Mandalorian: The Manga,2022-05-25,False
1692,9 ABY,C,The Mandalorian – The Graphic Novel of Season 1,2022-03-21,False
1693,9 ABY,C,The Mandalorian 1,2022-07-13,False
1694,9 ABY,TV,"The Mandalorian — ""Chapter 2: The Child""",2019-11-15,False
1695,9 ABY,C,The Mandalorian 2,2022-08-17,False
1696,9 ABY,TV,"The Mandalorian — ""Chapter 3: The Sin""",2019-11-22,False
1697,9 ABY,C,The Mandalorian 3,2022-09-21,False
1698,9 ABY,TV,"The Mandalorian — ""Chapter 4: Sanctuary""",2019-11-29,False
1699,9 ABY,C,The Mandalorian 4,2022-10-05,False
1700,9 ABY,JR,The Mandalorian: La traque,2021-03-03,False
1701,9 ABY,TV,"The Mandalorian — ""Chapter 5: The Gunslinger""",2019-12-06,False
1702,9 ABY,C,The Mandalorian 5,2022-11-02,False
1703,9 ABY,TV,"The Mandalorian — ""Chapter 6: The Prisoner""",2019-12-13,False
1704,9 ABY,C,The Mandalorian 6,2022-12-14,False
1705,9 ABY,JR,The Mandalorian: L'affrontement,2021-05-03,False
1706,9 ABY,TV,"The Mandalorian — ""Chapter 7: The Reckoning""",2019-12-18,False
1707,9 ABY,C,The Mandalorian 7,2023-01-11,False
1708,9 ABY,TV,"The Mandalorian — ""Chapter 8: Redemption""",2019-12-27,False
1709,9 ABY,C,The Mandalorian 8,2023-03-01,False
1710,9 ABY,TV,"The Mandalorian — ""Chapter 9: The Marshal""",2020-10-30,False
1711,9 ABY,JR,The Mandalorian Season 2 Junior Novel,2022-01-04,False
1712,9 ABY,C,The Mandalorian – The Graphic Novel of Season 2,2022-10-11,False
1713,9 ABY,C,The Mandalorian Season 2 1,2023-06-21,False
1714,9 ABY,JR,The Mandalorian: La quête,2021-11-24,False
1715,9 ABY,TV,"The Mandalorian — ""Chapter 10: The Passenger""",2020-11-06,False
1716,9 ABY,C,The Mandalorian Season 2 2,2023-07-26,False
1717,,TV,"Star Wars: Tales of the Empire — ""The Path of Hate"" ",2024-05-04,False
1718,9 ABY,TV,"The Mandalorian — ""Chapter 11: The Heiress""",2020-11-13,False
1719,9 ABY,C,The Mandalorian Season 2 3,2023-08-30,False
1720,9 ABY,TV,"The Mandalorian — ""Chapter 12: The Siege""",2020-11-20,False
1721,9 ABY,C,The Mandalorian Season 2 4,2023-09-27,False
1722,9 ABY,JR,The Mandalorian: La Jedi,2022-02-22,False
1723,9 ABY,TV,"The Mandalorian — ""Chapter 13: The Jedi""",2020-11-27,False
1724,9 ABY,C,The Mandalorian Season 2 5,2023-10-11,False
1725,9 ABY,TV,"The Mandalorian — ""Chapter 14: The Tragedy""",2020-12-04,False
1726,9 ABY,C,The Mandalorian Season 2 6,2023-11-15,False
1727,9 ABY,JR,The Mandalorian: Le captif,2022-04-06,False
1728,9 ABY,TV,"The Mandalorian — ""Chapter 15: The Believer""",2020-12-11,False
1729,9 ABY,C,The Mandalorian Season 2 7,2023-12-27,False
1730,9 ABY,TV,"The Mandalorian — ""Chapter 16: The Rescue""",2020-12-18,False
1731,9 ABY,C,The Mandalorian: The Rescue,2022-05-03,False
1732,9 ABY,C,The Mandalorian Season 2 8,2024-01-10,False
1733,9 ABY,TV,"The Book of Boba Fett — ""Chapter 1: Stranger in a Strange Land"" ",2021-12-29,False
1734,9 ABY,JR,The Book of Boba Fett Junior Novel,2023-01-03,False
1735,9 ABY,TV,"The Book of Boba Fett — ""Chapter 2: The Tribes of Tatooine""",2022-01-05,False
1736,9 ABY,TV,"The Book of Boba Fett — ""Chapter 3: The Streets of Mos Espa""",2022-01-12,False
1737,9 ABY,TV,"The Book of Boba Fett — ""Chapter 4: The Gathering Storm""",2022-01-19,False
1738,9 ABY,TV,"The Book of Boba Fett — ""Chapter 5: Return of the Mandalorian""",2022-01-26,False
1739,9 ABY,TV,"The Book of Boba Fett — ""Chapter 6: From the Desert Comes a Stranger""",2022-02-02,False
1740,9 ABY,TV,"The Book of Boba Fett — ""Chapter 7: In the Name of Honor""",2022-02-09,False
1741,9 ABY,TV,"The Mandalorian — ""Chapter 17: The Apostate""",2023-03-01,False
1742,9 ABY,C,The Mandalorian – The Graphic Novel of Season 3,2024-11-05,False
1743,9 ABY,TV,"The Mandalorian — ""Chapter 18: The Mines of Mandalore""",2023-03-08,False
1744,9 ABY,TV,"The Mandalorian — ""Chapter 19: The Convert""",2023-03-15,False
1745,9 ABY,TV,"The Mandalorian — ""Chapter 20: The Foundling""",2023-03-22,False
1746,9 ABY,TV,"The Mandalorian — ""Chapter 21: The Pirate""",2023-03-29,False
1747,9 ABY,TV,"The Mandalorian — ""Chapter 22: Guns for Hire""",2023-04-05,False
1748,9 ABY,TV,"The Mandalorian — ""Chapter 23: The Spies""",2023-04-07,False
1749,9 ABY,TV,"Grogu Cutest In The Galaxy — ""Episode 1""",2024-12-06,False
1750,9 ABY,TV,"Grogu Cutest In The Galaxy — ""Episode 2""",2024-12-10,False
1751,9 ABY,TV,"Grogu Cutest In The Galaxy — ""Episode 3""",2024-12-24,False
1752,9 ABY,TV,"Grogu Cutest In The Galaxy — ""Episode 4""",2025-01-14,False
1753,9 ABY,TV,"Grogu Cutest In The Galaxy — ""Episode 5""",2025-01-21,False
1754,9 ABY,TV,"Grogu Cutest In The Galaxy — ""Episode 6""",2025-02-18,False
1755,9 ABY,TV,"Grogu Cutest In The Galaxy — ""Episode 7""",2025-03-04,False
1756,9 ABY,TV,"The Mandalorian — ""Chapter 24: The Return""",2023-04-19,False
1757,9 ABY,TV,"Ahsoka — ""Part One: Master and Apprentice""",2023-08-22,False
1758,9 ABY,C,Ahsoka 1,2024-07-10,False
1759,9 ABY,TV,"Ahsoka — ""Part Two: Toil and Trouble""",2023-08-22,False
1760,9 ABY,C,Ahsoka 2,2024-08-28,False
1761,9 ABY,TV,"Ahsoka — ""Part Three: Time to Fly""",2023-08-29,False
1762,9 ABY,C,Ahsoka 3,2024-09-25,False
1763,9 ABY,TV,"Ahsoka — ""Part Four: Fallen Jedi""",2023-09-06,False
1764,9 ABY,C,Ahsoka 4,2024-10-09,False
1765,9 ABY,TV,"Ahsoka — ""Part Five: Shadow Warrior""",2023-09-13,False
1766,9 ABY,C,Ahsoka 5,2024-11-06,False
1767,9 ABY,TV,"Ahsoka — ""Part Six: Far, Far Away""",2023-09-19,False
1768,9 ABY,C,Ahsoka 6,2024-12-18,False
1769,9 ABY,TV,"Ahsoka — ""Part Seven: Dreams and Madness""",2023-09-26,False
1770,9 ABY,C,Ahsoka 7,2025-01-01,False
1771,9 ABY,TV,"Ahsoka — ""Part Eight: The Jedi, the Witch, and the Warlord""",2023-10-03,False
1772,9 ABY,C,Ahsoka 8,2025-02-19,False
1773,9 ABY,TV,"Star Wars: Skeleton Crew — ""This Could Be a Real Adventure""",2024-12-02,False
1774,9 ABY,TV,"Star Wars: Skeleton Crew — ""Way, Way Out Past the Barrier""",2024-12-02,False
1775,9 ABY,TV,"Star Wars: Skeleton Crew — ""Very Interesting, As an Astrogation Problem""",2024-12-10,False
1776,9 ABY,TV,"Star Wars: Skeleton Crew — ""Can't Say I Remember No At Attin""",2024-12-17,False
1777,9 ABY,TV,"Star Wars: Skeleton Crew — ""You Have a Lot to Learn About Pirates""",2024-12-24,False
1778,9 ABY,TV,"Star Wars: Skeleton Crew — ""Zero Friends Again""",2024-12-31,False
1779,9 ABY,TV,"Star Wars: Skeleton Crew — ""We're Gonna Be In So Much Trouble""",2025-01-07,False
1780,9 ABY,TV,"Star Wars: Skeleton Crew — ""The Real Good Guys""",2025-01-14,False
1781,,F,The Mandalorian and Grogu,2026-05-22,False
1782,,F,Untitled Star Wars film (Dave Filoni),Uknown,False
1783,18–19 ABY,N,Poe Dameron: Free Fall ,2020-08-04,False
1784,21 ABY,N,Shadow of the Sith ,2022-06-28,False
1785,21–35 ABY,C,"""Nightmares Long Remembered"" — Tales from the Death Star ",2023-10-17,False
1786,26–34 ABY,C,Age of Resistance - Rose Tico 1 ,2019-09-18,False
1787,,C,Star Wars (2020) 50 ,2024-09-11,False
1788,28 ABY,N,Bloodline,2016-05-03,False
1789,28 ABY,C,The Rise of Kylo Ren 1,2019-12-18,False
1790,28 ABY,C,The Rise of Kylo Ren 2,2020-01-08,False
1791,28 ABY,C,The Rise of Kylo Ren 3,2020-02-12,False
1792,28 ABY,C,The Rise of Kylo Ren 4 ,2020-03-11,False
1793,,C,Age of Resistance - Supreme Leader Snoke 1 ,2019-09-11,False
1794,,JR,The Legends of Luke Skywalker ,2017-10-05,False
1795,,C,"""The Starship Graveyard"" — The Legends of Luke Skywalker—The Manga ",2020-01-14,False
1796,,C,"""I, Droid"" — The Legends of Luke Skywalker—The Manga ",2020-01-14,False
1797,,C,"""The Tale of Lugubrious Mote"" — The Legends of Luke Skywalker—The Manga ",2020-01-14,False
1798,,C,"""Big Inside"" — The Legends of Luke Skywalker—The Manga ",2020-01-14,False
1799,31 ABY,C,Life Day 1 ,2021-11-24,False
1800,,C,"""Tales of Villainy: The Crimson Corsair and the Crime Lords of the Barren Rim"" — Star Wars Adventures (2020) 7 ",2021-07-28,False
1801,,C,Age of Resistance - Poe Dameron 1 ,2019-08-28,False
1802,,C,"""Kidnapped!"" — Star Wars Adventures (2017) 24 ",2019-08-21,False
1803,31–34 ABY,JR,Before the Awakening,2015-12-18,False
1804,,C,Forces of Destiny—Rose & Paige ,2018-01-31,False
1805,,C,"""An Unlikely Friendship"" — Star Wars Adventures (2017) 15 ",2018-10-31,False
1806,,C,"""SaBBotage"" — Poe Dameron 1 ",2016-04-06,False
1807,32 ABY,C,Poe Dameron 1 ,2016-04-06,False
1808,32 ABY,C,Poe Dameron 2 ,2016-05-04,False
1809,32 ABY,C,Poe Dameron 3 ,2016-06-08,False
1810,32 ABY,C,Poe Dameron 4 ,2016-07-06,False
1811,32 ABY,C,Poe Dameron 5 ,2016-08-17,False
1812,32 ABY,C,Poe Dameron 6 ,2016-09-07,False
1813,,C,Star Wars Special: C-3PO 1 ,2016-04-13,False
1814,32 ABY,N,Force Collector ,2019-10-04,False
1815,33 ABY,C,Age of Resistance - Finn 1 ,2019-07-03,False
1816,33 ABY,C,"""Robot Resistance"" — Age of Resistance Special 1 ",2019-07-31,False
1817,33 ABY,C,Age of Resistance - General Hux 1 ,2019-08-28,False
1818,33 ABY,C,Age of Resistance - Kylo Ren 1 ,2019-09-25,False
1819,33 ABY,C,"""Better the Devil You Know, Part I"" — Star Wars Adventures (2017) 1 ",2017-09-06,False
1820,33 ABY,C,"""Better the Devil You Know, Part II"" — Star Wars Adventures (2017) 2 ",2017-09-20,False
1821,34 ABY,JR,Join the Resistance ,2017-03-07,False
1822,34 ABY,C,Poe Dameron 7 ,2016-10-26,False
1823,34 ABY,C,Poe Dameron 8 ,2016-11-09,False
1824,34 ABY,C,Poe Dameron 9 ,2016-12-14,False
1825,34 ABY,C,Poe Dameron 10 ,2017-01-11,False
1826,34 ABY,C,Poe Dameron 11 ,2017-02-15,False
1827,34 ABY,C,Poe Dameron 12 ,2017-03-15,False
1828,34 ABY,C,Poe Dameron 13 ,2017-04-19,False
1829,34 ABY,C,Poe Dameron 14 ,2017-05-03,False
1830,34 ABY,C,Poe Dameron 15 ,2017-05-17,False
1831,34 ABY,C,Poe Dameron 16 ,2017-06-28,False
1832,34 ABY,C,Poe Dameron 17 ,2017-07-19,False
1833,34 ABY,C,Poe Dameron 18 ,2017-08-16,False
1834,34 ABY,C,Poe Dameron 19 ,2017-09-20,False
1835,34 ABY,C,Poe Dameron Annual 1 ,2017-06-21,False
1836,,C,Poe Dameron Annual 2 ,2018-08-29,False
1837,34 ABY,C,Poe Dameron 20 ,2017-10-18,False
1838,34 ABY,C,Poe Dameron 21 ,2017-11-29,False
1839,34 ABY,C,Poe Dameron 22 ,2017-12-20,False
1840,34 ABY,C,Poe Dameron 23 ,2018-01-24,False
1841,34 ABY,C,Poe Dameron 24 ,2018-02-14,False
1842,34 ABY,C,Poe Dameron 25 ,2018-03-21,False
1843,,C,Hyperspace Stories — Codebreaker 1 ,2025-04-23,False
1844,,C,Hyperspace Stories — Codebreaker 2 ,2025-06-04,False
1845,,C,Hyperspace Stories — Codebreaker 3 ,2025-06-18,False
1846,,C,Hyperspace Stories — Codebreaker 4 ,Uknown,False
1847,34 ABY,TV,"Star Wars Resistance — ""The Recruit""",2018-10-07,False
1848,34 ABY,JR,Star Wars Resistance: Le Nouvel Espion,2019-01-16,False
1849,34 ABY,C,"""The Recruit - Part 1"" — Star Wars Resistance Animation 1",2019-05-15,False
1850,34 ABY,C,"""The Recruit - Part 2"" — Star Wars Resistance Animation 2",2019-07-17,False
1851,34 ABY,TV,"Star Wars Resistance — ""The Triple Dark""",2018-10-14,False
1852,34 ABY,JR,Star Wars Resistance: Triples Ténèbres,2019-04-17,False
1853,34 ABY,C,"""The Triple Dark"" — Star Wars Resistance Animation 3",2019-09-18,False
1854,34 ABY,TV,"Star Wars Resistance — ""Fuel for the Fire""",2018-10-21,False
1855,34 ABY,JR,Star Wars Resistance: Le Secret de Yeager,2019-08-14,False
1856,34 ABY,C,"""Fuel for the Fire"" — Star Wars Resistance Animation 4",2019-11-20,False
1857,34 ABY,TV,"Star Wars Resistance — ""The High Tower""",2018-10-28,False
1858,34 ABY,C,"""The High Tower"" — Star Wars Fun & Action 1",2020-03-18,False
1859,34 ABY,TV,"Star Wars Resistance — ""The Children from Tehar""",2018-11-04,False
1860,34 ABY,TV,"Star Wars Resistance — ""Signal from Sector Six""",2018-11-11,False
1861,34 ABY,JR,Star Wars Resistance: La Rescapée,2019-06-09,False
1862,34 ABY,TV,"Star Wars Resistance — ""The Search for Kaz""",2018-12-10,False
1863,34 ABY,TV,"Star Wars Resistance — ""Synara's Score""",2018-11-18,False
1864,34 ABY,TV,"Star Wars Resistance — ""The Platform Classic""",2018-11-25,False
1865,34 ABY,TV,"Star Wars Resistance — ""Secrets and Holograms""",2018-12-02,False
1866,34 ABY,TV,"Star Wars Resistance — ""Station Theta Black""",2018-12-09,False
1867,34 ABY,C,"""All Aces Battle Royale"" — Star Wars Adventures (2017) 16 ",2018-12-19,False
1868,34 ABY,TV,"Star Wars Resistance — ""Bibo""",2019-01-13,False
1869,34 ABY,TV,"Star Wars Resistance — ""Dangerous Business""",2019-01-20,False
1870,34 ABY,TV,"Star Wars Resistance — ""Dart and Cover"" ",2018-12-10,False
1871,34 ABY,TV,"Star Wars Resistance — ""Neeku's Reward"" ",2018-12-10,False
1872,34 ABY,TV,"Star Wars Resistance — ""Bucket's Quest"" ",2018-12-23,False
1873,34 ABY,TV,"Star Wars Resistance — ""When Thieves Drop By"" ",2018-12-17,False
1874,34 ABY,TV,"Star Wars Resistance — ""Treasure Chest"" ",2018-12-17,False
1875,34 ABY,TV,"Star Wars Resistance — ""G-LN"" ",2018-12-17,False
1876,34 ABY,TV,"Star Wars Resistance — ""Unmotivated"" ",2018-12-24,False
1877,34 ABY,TV,"Star Wars Resistance — ""The Need for Speed"" ",2018-12-24,False
1878,34 ABY,TV,"Star Wars Resistance — ""The Rematch"" ",2018-12-31,False
1879,34 ABY,TV,"Star Wars Resistance — ""Sixty Seconds to Destruction"" ",2018-12-31,False
1880,34 ABY,TV,"Star Wars Resistance — ""Buggle's Day Out"" ",2018-12-31,False
1881,34 ABY,TV,"Star Wars Resistance — ""The Doza Dilemma""",2019-01-27,False
1882,34 ABY,C,"""Sector 7-E"" — Star Wars Adventures (2017) 17 ",2019-01-30,False
1883,34 ABY,TV,"Star Wars Resistance — ""The First Order Occupation""",2019-02-03,False
1884,34 ABY,N,Phasma ,2017-09-01,False
1885,34 ABY,TV,"Star Wars Resistance — ""The New Trooper""",2019-02-10,False
1886,34 ABY,JR,The Last Jedi: Cobalt Squadron,2017-12-15,False
1887,34 ABY,JR,Join the Resistance: Escape from Vodran ,2017-10-03,False
1888,,TV,"Star Wars Forces of Destiny — ""The Happabore Hazard"" ",2017-10-29,False
1889,,JR,Forces of Destiny: The Rey Chronicles,2018-03-06,False
1890,,TV,"Star Wars Forces of Destiny — ""Run Rey Run"" ",2018-03-19,False
1891,,A,Choose Your Destiny: A Scavenger Mission ,2019-11-XX,False
1892,,VG,Star Wars Battlefront II Campaign: Mission 12: Discoveries ,2017-11-17,False
